z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
51542,60010,7,6.25,,0.75,049-5000-6,,,0,,Timber Lake,Barrington,IL,Lake,0,0
51543,60010,7,6.25,,0.75,049-5000-6,,,0,,Tower Lakes,Barrington,IL,Lake,0,0
51524,60010,7,6.25,,0.75,049-5000-6,,,0,,Barrington,Barrington,IL,Lake,0,1
51548,60011,7,6.25,,0.75,049-5000-6,,,0,,Barrington,Barrington,IL,Lake,0,1
51549,60012,7.75,6.25,,0.75,056-5000-6,0.75,056-0007-3,0,,Bull Valley,Crystal Lake,IL,McHenry,0,0
51551,60012,7.75,6.25,,0.75,056-5000-6,0.75,056-0007-3,0,,Prairie Grove,Crystal Lake,IL,McHenry,0,0
51552,60012,7.75,6.25,,0.75,056-5000-6,0.75,056-0007-3,0,,Ridgefield,Crystal Lake,IL,McHenry,0,0
51550,60012,7.75,6.25,,0.75,056-5000-6,0.75,056-0007-3,0,,Crystal Lake,Crystal Lake,IL,McHenry,0,1
51555,60013,7,6.25,,0.75,056-5000-6,,,0,,Oakwood Hills,Cary,IL,McHenry,0,0
51553,60013,7,6.25,,0.75,056-5000-6,,,0,,Trout Valley,Cary,IL,McHenry,0,0
51554,60013,7,6.25,,0.75,056-5000-6,,,0,,Cary,Cary,IL,McHenry,0,1
51559,60014,8,6.25,,0.75,056-5000-6,1,056-0031-6,0,,Lakewood,Crystal Lake,IL,McHenry,0,0
51556,60014,7.75,6.25,,0.75,056-5000-6,0.75,056-0007-3,0,,Village Of Lakewood,Crystal Lake,IL,McHenry,0,0
51558,60014,7.75,6.25,,0.75,056-5000-6,0.75,056-0007-3,0,,Crystal Lake,Crystal Lake,IL,McHenry,0,1
51563,60015,7.5,6.25,,0.75,049-5000-6,0.5,049-0042-1,0,,Bannockburn,Deerfield,IL,Lake,0,0
51565,60015,7.5,6.25,,0.75,049-5000-6,0.5,049-0076-6,0,,Riverwoods,Deerfield,IL,Lake,0,0
51564,60015,8,6.25,,0.75,049-5000-6,1,049-0004-9,0,,Deerfield,Deerfield,IL,Lake,0,1
